conductor,eddyLosses_W,coreLosses_VA,GroupCount_rmsResults,iSecAbs_A_RMS,GroupCount_tempTable,bAvgMagnitude_T_RMS,GroupCount_rmsResults_1,hAvgMagnitude_A_m_RMS,GroupCount_tempTable_1,storedEnergy_J_RMS
Strom_L1,22498.6577500799,9.32311267975772-0.000103390117474122i,1,1388164.03815885,1,0.0973567586610869,1,4.7282343668854e-18,1,1112.24242635326
Strom_L1,22498.6577500799,3770.8338809618-83.6121808790188i,1,1149107741217.34,1,26076127030877.8,1,9.97163278634496e-10,1,1112.24242635326
Strom_L1,22498.6577500799,14982.6627838936-331.916882059955i,1,2289468797619.85,1,103512208704346,1,1.53885181139952e-09,1,1112.24242635326
Strom_L1,22498.6577500799,33304.1779208461-737.41290924309i,1,3412405508143.46,1,229955374589192,1,2.71753308284179e-09,1,1112.24242635326
Strom_L1,22498.6577500799,58179.0441341693-1287.63378160321i,1,4509371506067.14,1,401563674028440,1,2.19913827144602e-08,1,1112.24242635326
Strom_L1,22498.6577500799,88850.8983411793-1965.98873381595i,1,5572018549995.81,1,613122916871697,1,8.79635748724358e-09,1,1112.24242635326
Strom_L1,22498.6577500799,124387.334919227-2751.81696066588i,1,6592259164397.48,1,858204969977221,1,1.48118637228343e-08,1,1112.24242635326
Strom_L1,22498.6577500799,163711.85934814-3621.36385379045i,1,7562329165582.13,1,1.12936327712652e+15,1,4.61264818675415e-08,1,1112.24242635326
Strom_L1,22498.6577500799,205624.799133041-4547.98426639773i,1,8474845291147.65,1,1.41835873445625e+15,1,2.13379436512352e-08,1,1112.24242635326
Strom_L1,22498.6577500799,248858.656562203-5503.41444897457i,1,9322860763738.67,1,1.71640963434709e+15,1,1.42083190231448e-07,1,1112.24242635326
Strom_L1,22498.6577500799,292088.758924754-6460.82535392827i,1,10099922144272.1,1,2.01445984204957e+15,1,9.3419476829882e-08,1,1112.24242635326
Strom_L1,22498.6577500799,334014.105115791-7386.58363815014i,1,10800124231179.6,1,2.30345682886931e+15,1,1.22144886039966e-06,1,1112.24242635326
Strom_L1,22498.6577500799,373352.111231563-8256.01795321316i,1,11418127353007.5,1,2.57461533422348e+15,1,1.02461440438037e-07,1,1112.24242635326
Strom_L1,22498.6577500799,408916.822083108-9041.59566566564i,1,11949229753282.5,1,2.81969685337966e+15,1,4.14513458774211e-07,1,1112.24242635326
Strom_L1,22498.6577500799,439617.542131452-9719.4657440285i,1,12389393398076.2,1,3.03125653610981e+15,1,3.04592405374579e-08,1,1112.24242635326
Strom_L1,22498.6577500799,464526.74451729-10269.9990731442i,1,12735265918844.5,1,3.20286512158851e+15,1,1.51411436210166e-06,1,1112.24242635326
Strom_L1,22498.6577500799,482888.848489463-10674.5156020006i,1,12984212986015.7,1,3.3293073136287e+15,1,8.97321657667295e-08,1,1112.24242635326
Strom_L1,22498.6577500799,494137.911968546-10923.9305744876i,1,13134346684358.6,1,3.4067446470831e+15,1,1.66554351801155e-07,1,1112.24242635326
Strom_L1,22498.6577500799,497940.962963572-11006.6127051282i,1,13184516405423.4,1,3.43282013856233e+15,1,5.32835417255622e-07,1,1112.24242635326
Strom_L2,22498.65775008,47.6782417501117+5.69880556689878e-05i,1,3047045.37535948,1,0.463621016020729,1,3.46891046201224e-18,1,23.3073912493828
Strom_L2,22498.65775008,48.2748666879346+9.43481998629897e-05i,1,3184448.26432741,1,0.427635311397459,1,1.02365901981278e-17,1,23.3073912493828
Strom_L2,22498.65775008,49.1457101600214+0.000311547950714307i,1,3297612.37485477,1,0.392919638730154,1,4.11501068559634e-18,1,23.3073912493828
Strom_L2,22498.65775008,50.2635932593176+0.000100972291943447i,1,3262466.69995461,1,0.0614345229540649,1,1.7021299512244e-19,1,23.3073912493828
Strom_L2,22498.65775008,51.595489062073-0.000137785187050151i,1,3447981.55312233,1,0.331488239826793,1,1.33514743862536e-18,1,23.3073912493828
Strom_L2,22498.65775008,53.1008085785568+2.18242077855792e-05i,1,3364826.44045364,1,0.0260928294215715,1,2.94403010310141e-20,1,23.3073912493828
Strom_L2,22498.65775008,54.7337292011829+3.74222461238537e-05i,1,3493583.32713216,1,0.286734254031114,1,4.12167081477051e-18,1,23.3073912493828
Strom_L2,22498.65775008,56.444362899449-0.000163877651639228i,1,3476542.27437501,1,0.272422713219582,1,4.32184873746959e-19,1,23.3073912493828
Strom_L2,22498.65775008,58.180743061906+4.1000244940978e-05i,1,3321297.90817336,1,0.0399974554697132,1,2.25496858781317e-19,1,23.3073912493828
Strom_L2,22498.65775008,59.8907313441899-3.60225833847783e-06i,1,3262648.21200652,1,0.0613870821190761,1,1.76351388957608e-21,1,23.3073912493828
Strom_L2,22498.65775008,61.5216007882497-4.24105527913922e-05i,1,3268180.20195242,1,0.266247083246871,1,6.63936047911749e-20,1,23.3073912493828
Strom_L2,22498.65775008,63.0242698297009-3.35913392898493e-05i,1,3148080.0220337,1,0.276672148808581,1,4.94593899633357e-21,1,23.3073912493828
Strom_L2,22498.65775008,64.3527515825414-5.69005198691869e-05i,1,3004020.4698828,1,0.292965191235938,1,1.42492523066248e-19,1,23.3073912493828
Strom_L2,22498.65775008,65.4670347611817-0.000225652637079422i,1,2837098.71110429,1,0.31463316918023,1,8.4396889794508e-19,1,23.3073912493828
Strom_L2,22498.65775008,66.3331886447895+7.2480109472635e-05i,1,2648585.03669235,1,0.341017791861059,1,7.95210447542934e-19,1,23.3073912493828
Strom_L2,22498.65775008,66.9176929136129+3.67198833310515e-05i,1,1698434.47051355,1,0.46945090372132,1,3.10731386897598e-18,1,23.3073912493828
Strom_L2,22498.65775008,66.9246268597838-8.55095747157213e-07i,1,2439913.6951126,1,0.371316081610399,1,4.48796750321196e-19,1,23.3073912493828
Strom_L2,22498.65775008,67.2210857599109+8.43611369517752e-05i,1,1968593.21295986,1,0.439883226247053,1,3.61048475738636e-18,1,23.3073912493828
Strom_L2,22498.65775008,67.2235603628731-0.000187108797230892i,1,2212673.46706921,1,0.404608547591703,1,1.86868265030196e-18,1,23.3073912493828
Strom_L3,22498.6577500799,-73793.1981458781+1547.61918113677i,1,6588236235565.54,1,857681239440421,1,7.65026007212224e-09,1,1112.24242635326
Strom_L3,22498.6577500799,-97096.8305260968+2036.63282176832i,1,7557714186733.97,1,1.12867404957983e+15,1,5.59481945952613e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-121922.111967675+2557.2761074005i,1,8469673087977.37,1,1.41749302064671e+15,1,5.28821171399912e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-147528.992191484+3095.13531138464i,1,9317171878060.41,1,1.71536231865823e+15,1,4.13193275402602e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-173130.34215108+3632.29507955466i,1,10093762912022.9,1,2.01323218753917e+15,1,3.40297642655244e-09,1,1112.24242635326
Strom_L3,22498.6577500799,-197948.35498891+4153.70344987893i,1,10793533102518.3,1,2.30205096660512e+15,1,2.00359431580863e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-221060.019234224+4642.58977303163i,1,11411157599717.8,1,2.57304394467174e+15,1,7.84478361193982e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-221230.392947829+4642.81913345131i,1,11411160468416.5,1,2.57304460825808e+15,1,1.36754380248085e-06,1,1112.24242635326
Strom_L3,22498.6577500799,-242119.911973085+5084.5399127577i,1,11941937437298.9,1,2.81797651661333e+15,1,1.90815350004443e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-242278.550153936+5084.10312233291i,1,11941936743849.6,1,2.81797563197731e+15,1,1.74357551963417e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-260307.076287383+5466.08504898124i,1,12381832257032.9,1,3.02940689242154e+15,1,7.18877717520848e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-260441.471421653+5466.32005334913i,1,12381820244583.8,1,3.02940054667675e+15,1,4.05861267777774e-09,1,1112.24242635326
Strom_L3,22498.6577500799,-275061.9947124+5775.10534252631i,1,12727492413724.8,1,3.20090998931126e+15,1,2.37957185055587e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-275161.422713984+5775.35197022967i,1,12727494232473.2,1,3.20091054033198e+15,1,1.9971031700904e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-285938.558813969+6003.37248749292i,1,12976290178812.4,1,3.32727622832727e+15,1,8.52502012353068e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-286009.238628277+6002.81534894103i,1,12976289237629.2,1,3.32727549681599e+15,1,1.82816732168895e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-292610.543195225+6142.92178873334i,1,13126330372803.6,1,3.4046652090818e+15,1,7.32164160236072e-07,1,1112.24242635326
Strom_L3,22498.6577500799,-292650.103794895+6142.94819750922i,1,13126330493593.6,1,3.40466514539767e+15,1,5.26192988650749e-08,1,1112.24242635326
Strom_L3,22498.6577500799,-294867.577842809+6190.28041672276i,1,13176470924424.7,1,3.43072541255785e+15,1,8.76883128306959e-07,1,1112.24242635326
